relpath	model	note
web/assets/backgrounds/bg_banquet.png	gpt-image-2	
web/assets/backgrounds/bg_dadian.png	gpt-image-2	
web/assets/backgrounds/bg_dawn.png	gpt-image-2	
web/assets/backgrounds/bg_fangshi.png	gpt-image-2	
web/assets/backgrounds/bg_feisheng.png	gpt-image-2	
web/assets/backgrounds/bg_houshan.png	gpt-image-2	
web/assets/backgrounds/bg_jianzhong.png	gpt-image-2	
web/assets/backgrounds/bg_room.png	gpt-image-2	
web/assets/backgrounds/bg_throne.png	gpt-image-2	
web/assets/backgrounds/bg_town.png	gpt-image-2	
web/assets/backgrounds/bg_yanwu.png	gpt-image-2	
web/assets/backgrounds/bg_zayuan.png	gpt-image-2	
web/assets/cg/cg_ally_feast.png	gpt-image-2	
web/assets/cg/cg_ally_morning.png	gpt-image-2	
web/assets/cg/cg_arena_dawn.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_arena_moon.png	gpt-image-2	
web/assets/cg/cg_arena_tend.png	gpt-image-2	
web/assets/cg/cg_arena_warm.png	gpt-image-2	
web/assets/cg/cg_arm_cut.png	gpt-image-2	
web/assets/cg/cg_ash_dream.png	gpt-image-2	
web/assets/cg/cg_auction.png	gpt-image-2	
web/assets/cg/cg_banquet_gown.png	gpt-image-2	
web/assets/cg/cg_bed_morning.png	gpt-image-2	
web/assets/cg/cg_blaze.png	gpt-image-2	
web/assets/cg/cg_bone_reforge.png	gpt-image-2	
web/assets/cg/cg_borrow_robe.png	gpt-image-2	
web/assets/cg/cg_burn_ash.png	gpt-image-2	
web/assets/cg/cg_burn_out.png	gpt-image-2	
web/assets/cg/cg_cat_window.png	gpt-image-2	
web/assets/cg/cg_check_bone.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_cling_cry.png	nano-banana-pro	二次增强img2img,底图gpt-image-2
web/assets/cg/cg_collapse.png	gpt-image-2	
web/assets/cg/cg_confront.png	gpt-image-2	
web/assets/cg/cg_core_burn.png	gpt-image-2	
